iter	Logloss
0	0.4582807486
1	0.3451474495
2	0.3023251169
3	0.2739879178
4	0.262767508
5	0.2541521675
6	0.2467632016
7	0.2440914865
8	0.2403458448
9	0.2381877622
10	0.2371942157
11	0.236191663
12	0.2353902526
13	0.2341148308
14	0.2337571271
15	0.2330329203
16	0.2326446016
17	0.2323371317
18	0.2321153118
19	0.2318907414
20	0.231528212
21	0.2313928697
22	0.2312637283
23	0.2311743541
24	0.2309822121
25	0.2308691601
26	0.2307603131
27	0.2306503585
28	0.2304649467
29	0.2303129491
30	0.2302530884
31	0.2301389533
32	0.2300428244
33	0.2299646227
34	0.2298603518
35	0.2297530078
36	0.2296719704
37	0.229621122
38	0.2295843122
39	0.2295152141
40	0.2293042747
41	0.2292278256
42	0.2291613015
43	0.2290632497
44	0.229011312
45	0.2289566238
46	0.2288797974
47	0.2287982366
48	0.2287238504
49	0.2286771461
50	0.2286232367
51	0.2285469215
52	0.2284093094
53	0.2283599397
54	0.2283105943
55	0.2281147403
56	0.2280096904
57	0.2279796597
58	0.2279031071
59	0.2278160757
60	0.2277675153
61	0.227702683
62	0.2276347532
63	0.227573925
64	0.2275115571
65	0.2274704573
66	0.2273479306
67	0.2272669723
68	0.2272022373
69	0.2271583565
70	0.2271054208
71	0.2269139359
72	0.2268347302
73	0.226755068
74	0.2265998818
75	0.2265465931
76	0.2264833429
77	0.2264318373
78	0.2263363048
79	0.2262563384
80	0.2262082709
81	0.2261456719
82	0.2260926206
83	0.2260406829
84	0.2259704529
85	0.2259236573
86	0.2258606505
87	0.2257965544
88	0.2257201844
89	0.2256625205
90	0.2256204774
91	0.2255568986
92	0.2254898999
93	0.2254216111
94	0.2253790569
95	0.2252976666
96	0.2252370391
97	0.2251566468
98	0.2251082446
99	0.2250586741
100	0.2250003286
101	0.2249501678
102	0.22488152
103	0.2248446859
104	0.2247708048
105	0.2247330701
106	0.2246956031
107	0.2246428804
108	0.2245774639
109	0.2245246986
110	0.2244789801
111	0.2244489615
112	0.2243903665
113	0.2243494796
114	0.2242806493
115	0.2242544583
116	0.2241842587
117	0.224152518
118	0.2240963267
119	0.2240352672
120	0.2239864148
121	0.2239461547
122	0.2239157467
123	0.2238755231
124	0.2238194231
125	0.2237541587
126	0.2236953994
127	0.2236483117
128	0.223597019
129	0.2235520368
130	0.2234923343
131	0.2234230962
132	0.2233714141
133	0.2233266205
134	0.2232863117
135	0.2232485709
136	0.2231943695
137	0.2231399065
138	0.2230979182
139	0.2230519927
140	0.2230260512
141	0.2229757444
142	0.2229247743
143	0.2228743701
144	0.2228050894
145	0.2227647745
146	0.222710853
147	0.2226759967
148	0.2226367041
149	0.2226077261
150	0.2225766913
151	0.2225373927
152	0.2224691709
153	0.2224138193
154	0.2223795837
155	0.2223404007
156	0.2222909032
157	0.2222355638
158	0.2221756666
159	0.2221179418
160	0.2220766959
161	0.2220236872
162	0.2219894272
163	0.2219396924
164	0.2218967061
165	0.2218576448
166	0.2218017822
167	0.2217611691
168	0.2217305359
169	0.2216812027
170	0.2216454944
171	0.2216059159
172	0.2215753192
173	0.2215439862
174	0.2215141441
175	0.2214784297
176	0.2214484355
177	0.2213938385
178	0.221359116
179	0.2212916122
180	0.2212479992
181	0.2212112625
182	0.2211724993
183	0.2211254603
184	0.2210910299
185	0.2210358913
186	0.2209983575
187	0.2209562049
188	0.2209229368
189	0.2208763115
190	0.2208250797
191	0.2207947264
192	0.2207323708
193	0.2206885386
194	0.2206456497
195	0.2206038501
196	0.2205633222
197	0.2205159424
198	0.2204772888
199	0.2204387631
