iter	Passed	Remaining
0	61	12269
1	125	12441
2	184	12118
3	242	11903
4	297	11603
5	351	11379
6	412	11384
7	470	11294
8	521	11062
9	578	10997
10	637	10958
11	695	10888
12	751	10807
13	812	10797
14	870	10735
15	921	10599
16	974	10489
17	1031	10434
18	1084	10334
19	1133	10197
20	1189	10142
21	1241	10048
22	1291	9938
23	1341	9840
24	1393	9757
25	1452	9719
26	1507	9658
27	1553	9545
28	1599	9429
29	1646	9327
30	1690	9215
31	1739	9133
32	1788	9050
33	1837	8973
34	1890	8913
35	1940	8838
36	1986	8750
37	2034	8672
38	2082	8596
39	2132	8530
40	2190	8492
41	2250	8464
42	2319	8470
43	2378	8431
44	2438	8398
45	2508	8399
46	2571	8371
47	2627	8319
48	2676	8246
49	2722	8168
50	2771	8097
51	2828	8049
52	2879	7985
53	2932	7929
54	2985	7871
55	3033	7799
56	3081	7732
57	3140	7687
58	3187	7617
59	3244	7571
60	3293	7503
61	3342	7438
62	3395	7384
63	3450	7332
64	3501	7271
65	3550	7208
66	3599	7145
67	3649	7083
68	3704	7033
69	3754	6973
70	3810	6924
71	3862	6867
72	3919	6818
73	3967	6755
74	4015	6692
75	4060	6625
76	4107	6560
77	4157	6502
78	4207	6444
79	4256	6384
80	4308	6330
81	4358	6272
82	4414	6223
83	4463	6163
84	4505	6095
85	4557	6040
86	4605	5981
87	4656	5926
88	4714	5879
89	4760	5818
90	4810	5762
91	4863	5709
92	4915	5655
93	4967	5601
94	5020	5549
95	5073	5496
96	5124	5441
97	5171	5382
98	5229	5334
99	5276	5276
100	5321	5216
101	5376	5165
102	5424	5108
103	5478	5056
104	5524	4998
105	5588	4955
106	5644	4905
107	5697	4853
108	5754	4804
109	5801	4746
110	5851	4691
111	5902	4637
112	5948	4579
113	5999	4526
114	6053	4474
115	6107	4422
116	6167	4375
117	6216	4320
118	6264	4264
119	6321	4214
120	6383	4167
121	6433	4113
122	6479	4056
123	6527	4000
124	6578	3946
125	6631	3894
126	6683	3841
127	6728	3784
128	6776	3729
129	6829	3677
130	6888	3628
131	6942	3576
132	6992	3522
133	7040	3467
134	7092	3414
135	7142	3360
136	7200	3311
137	7249	3256
138	7298	3202
139	7348	3149
140	7397	3095
141	7447	3041
142	7499	2989
143	7558	2939
144	7603	2884
145	7659	2832
146	7701	2776
147	7751	2723
148	7804	2671
149	7859	2619
150	7919	2569
151	7968	2516
152	8011	2461
153	8067	2409
154	8125	2358
155	8173	2305
156	8228	2253
157	8289	2203
158	8349	2153
159	8396	2099
160	8455	2048
161	8507	1995
162	8554	1941
163	8608	1889
164	8657	1836
165	8700	1781
166	8746	1728
167	8800	1676
168	8854	1624
169	8910	1572
170	8968	1521
171	9017	1467
172	9067	1415
173	9115	1362
174	9170	1310
175	9223	1257
176	9272	1204
177	9317	1151
178	9385	1101
179	9431	1047
180	9478	994
181	9532	942
182	9580	890
183	9633	837
184	9677	784
185	9727	732
186	9777	679
187	9833	627
188	9877	574
189	9936	522
190	9992	470
191	10043	418
192	10088	365
193	10140	313
194	10185	261
195	10248	209
196	10295	156
197	10346	104
198	10401	52
199	10458	0
